,Company Name,Company Code
473,"Wuxi Huaguang Environment & Energy Group Co.,Ltd.",600475
474,"Hunan  Copote  Science&Technology  Co.,Ltd.",600476
475,"HANGXIAO STEEL STRUCTURE CO.,LTD",600477
476,HUNAN  CORUN  NEW  ENERGY  CO.，LTD.,600478
477,"ZhuZhou QianJin Pharmaceutical Co., Ltd.",600479
478,LINGYUN  INDUSTRIAL  CORPORATION  LIMITED,600480
479,"Shuangliang Eco-Energy Systems Co.,Ltd",600481
480,"China Shipbuilding Industry Group Power Co., Ltd.",600482
481,FUJIAN FUNENG CO.，LTD.,600483
482,"Jiangsu Yangnong Chemical Co.,Ltd.",600486
483,"Hengtong Optic-Electric Co.,Ltd.",600487
484,"Tianjin Tianyao Pharmaceutical Co., Ltd.",600488
485,ZHONGJIN GOLD CORPORATION LIMITED,600489
486,"Pengxin International Mining Co.,Ltd",600490
487,"LONG YUAN CONSTRUCTION GUOUP CO.,LTD",600491
488,fujian fynex textile science & technology co.，ltd.,600493
489,JINXI AXLE COMPANY LIMITED,600495
490,"changjiang & jinggong steel building (group) co.,ltd",600496
491,"Yunnan Chihong Zinc&Germanium Co.,Ltd.",600497
492,"Fiberhome Telecommunication Technologies Co.,Ltd.",600498
493,"Keda Industrial Group Co., Ltd.",600499
494,SINOCHEM INTERNATIONAL CORPORATION,600500
495,Aerosun Corporation,600501
496,Anhui Construction Engineering Group Corporation Limited,600502
497,"Deluxe Family Co., Ltd.",600503
498,"Sichuan Xichang Electric Power Co.,Ltd",600505
499,"Tongyi Carbon Neutral Technology (Xinjiang) Co., Ltd.",600506
500,"FANGDA SPECIAL STEEL TECHNOLOGY CO., LTD",600507
501,"SHANGHAI DATUN ENERGY RESOURSES CO.,LTD.",600508
502,"XINJIANG TIANFU ENERGY CO.,LTD",600509
503,"BLACK PEONY (GROUP) CO., LTD.",600510
504,China National Medicines Corporation Ltd.,600511
505,"Tengda Construction Group Co.,Ltd.",600512
506,"Jiangsu Lianhuan Pharmaceutical Co., Ltd.",600513
507,"Hainan Airport Infrastructure Co., Ltd",600515
508,"FangDa Carbon New Material CO.,LTD",600516
509,"State Grid Yingda Co.,ltd.",600517
510,"Kangmei Pharmaceutical Co., Ltd",600518
511,"KWEICHOW MOUTAI CO.,LTD.",600519
512,"HIIG Trinity (Anhui) Technology Co., LTD.",600520
513,"Zhejiang Huahai Pharmaceutical Co.,LTD.",600521
514,"JIANGSU ZHONGTIAN TECHNOLOGY CO.,LTD.",600522
515,"GUIZHOU GUIHANG AOTOMOTIVE COMPONENTS CO., LTD",600523
516,"ZHEJIANG FEIDA ENVIRONMENTAL SCIENCE &TECHNOLOGY CO.,LTD.",600526
517,"Jiangsu Jiangnan High Polymer Fiber CO.,Ltd",600527
518,China Railway Hi-tech Industry Corporation Limited,600528
519,"SHANDONG PHARMACEUTICAL GLASS CO.,LTD",600529
520,"SHANGHAI JIAODA ONLLY CO.,LTD",600530
521,HENAN YUGUANG GOLD&LEAD CO.，LTD,600531
522,"NANJING CHIXIA DEVELOPMENT CO., LTD.",600533
523,"Tasly Pharmaceutical Group CO., LTD.",600535
524,CHINA NATIONAL SOFTWARE & SERVICE COMPANY LIMITED,600536
525,"EGing Photovoltaic Technology Co., Ltd.",600537
526,"Beihai Gofar Chuanshan Biological Co., Ltd.",600538
527,"Lionhead Technology Development Co.,Ltd.",600539
528,"XINJIANG SAYRAM MODERN AGRICULTURE CO.,LTD.",600540
529,"GANSU MOGAO INDUSTRIAL DEVELOPMENT CO.,LTD.",600543
530,"SAURER INTELLIGENT TECHNOLOGY CO., LTD.",600545
531,"Shanxi Coal International Energy Group Co.,LTD",600546
532,"SHANDONG GOLD MINING CO.,LTD.",600547
533,Shenzhen Expressway Corporation Limited,600548
534,XIAMEN TUNGSTEN CORP.,600549
535,"BAODING TIANWEI BAOBIAN ELECTRIC CO.,LTD",600550
536,"Time Publishing & Media CO., LTD.",600551
537,"TRIUMPH SCIENCE & TECHNOLOGY CO., LTD",600552
538,"INMYSHOW DIGITAL TECHNOLOGY （GROUP） CO., LTD.",600556
539,"Jiangsu Kanion Pharmaceutical Co.,Ltd.",600557
540,"ATLANTIC CHINA WELDING CONSUMABLES,INC.",600558
541,HEBEI HENGSHUI LAOBAIGAN LIQUOR CO.，LTD.,600559
542,"Beijing AriTime Intelligent Control Co., Ltd.",600560
543,"Jiangxi Changyun Co., Ltd.",600561
544,GLARUN TECHNOLOGY CO．，LTD．,600562
545,"Xiamen Faratronic Co.,LTD.",600563
546,"HUBEI JUMPCAN PHARMACEUTICAL CO., LTD.",600566
547,"SHANYING INTERNATIONAL HOLDINGS CO.,LTD.",600567
548,"AnYang lron And Steel Co.,Ltd",600569
549,HUNDSUN TECHNOLOGIES INC.,600570
550,"SUNYARD TECHNOLOGY CO.,LTD",600571
551,"ZHEJIANG CONBA PHARMACEUTICAL CO.,LTD.",600572
552,"FuJian YanJing HuiQuan Brewery Co.,Ltd",600573
553,"Huaihe Energy (Group) Co.,Ltd",600575
554,"Zhejiang Sunriver Culture Tourism Co.,",600576
555,"TONGLING JINGDA SPECIAL MAGNET WIRE CO.,LTD.",600577
556,"BEIJING JINGNENG POWER CO.,LTD.",600578
557,Sinochem Equipment Technology (Qingdao) Company Limited,600579
558,WOLONG ELECTRIC GROUP CO.，LTD.,600580
559,"XinJiang Ba Yi Iron & Steel Co., Ltd",600581
560,"Tiandi Science & Technology Co.,LTD",600582
561,"OFFSHORE OIL ENGINEERING CO., LTD.",600583
562,"JCET  Group  Co., Ltd.",600584
563,Anhui Conch Cement Company Limited,600585
564,"Shandong Jinjing Science & Technology Co.,Ltd",600586
565,"Shinva Medical Instrument Co.,Ltd.",600587
566,"Yonyou Network Technology Co., Ltd.",600588
567,"Dawei Technology (Guangdong) Group Co., Ltd.",600589
568,"TELLHOW SCI-TECH CO.,LTD.",600590
569,"FUJIAN LONGXI BEARING （GROUP）CO.,LTD.",600592
570,"Dalian Sunaisa Tourism Holdings Co.,Ltd",600593
571,"GuiZhou YiBai Pharmaceutical Co., Ltd.",600594
572,"Henan Zhongfu Industry Co.,Ltd",600595
573,"ZHEJIANG XINAN CHEMICAL INDUSTRIAL GROUP CO.,LTD",600596
574,"BRIGHT DAIRY & FOOD CO.,LTD",600597
575,heilongjiang agriclture company limited,600598
576,TSINGTAO BREWERY COMPANY LIMITED,600600
577,"FOUNDER TECHNOLOGY GROUP CO., LTD.",600601
578,INESA Intelligent Tech Inc.,600602
579,GUANGHUI LOGISTICS CO.，LTD,600603
580,"SHANGHAI SHIBEI HI-TECH CO.,LTD.",600604
581,"SHANGHAI HUITONG ENERGY CO.,LTD.",600605
582,Greenland Holdings Corporation Limited,600606
583,SHENYANG JINBEI AUTOMOTIVE COMPANY LIMTED,600609
584,"Guizhou Zhong Yi Da Co.,Ltd",600610
585,"DAZHONG TRANSPORTATION（GROUP）CO.,LTD.",600611
586,"LAO FENG XIANG CO.,LTD.",600612
587,"Shanghai Shenqi Pharmaceutical Investment Management Co., Ltd.",600613
588,"Chongqing Shineray Intelligent Manufacturing Technology Co., Ltd.",600615
589,SHANGHAI JINFENG WINE COMPANY LIMITED,600616
590,SHANXI GUOXIN ENERGY CORPORATION LIMITED,600617
591,"SHANGHAI CHLOR-ALKALI CHEMICAL CO.,LTD.",600618
592,"SHANGHAI HIGHLY(GROUP) CO.,LTD.",600619
593,"SHANGHAI TIANCHEN CO.,LTD.",600620
594,"SHANGHAI CHINAFORTUNE CO., LTD",600621
595,"Everbright Jiabao Co.,Ltd",600622
596,SHANGHAI HUAYI GROUP CORPORATION  LTD.,600623
597,"Shanghai Shenda Co.,Ltd.",600626
598,"SHANGHAI NEW WORLD CO.,LTD.",600628
599,Arcplus Group PLC,600629
600,SHANGHAI DRAGON CORPORATION,600630
601,"Zhejiang Daily Digital Culture Group Co.,Ltd.",600633
602,"Shanghai DaZhong Public Utilities (Group) Co.,Ltd",600635
603,"Oriental Pearl Group Co., Ltd.",600637
604,"SHANGHAI NEW HUANG PU INDUSTRIAL GROUP CO., LTD.",600638
605,"Shanghai Jinqiao Export Processing Zone Development Co.,Ltd.",600639
606,"New Guomai Digital Culture Co., Ltd",600640
607,"Shanghai Vital Deeptech Co., Ltd.",600641
608,SHENERGY COMPANY LIMITED,600642
609,"SHANGHAI AJ GROUP CO.,LTD.",600643
610,"LESHAN ELECTRIC POWER CO.,LTD.",600644
611,"VCANBIO CELL & GENE ENGINEERING CORP., LTD",600645
612,"SHANGHAI WAI GAOQIAO FREE TRADE ZONE DEVELOPMENT CO.,LTD.",600648
613,"Shanghai chengtou Holding Co., Ltd.",600649
614,"Shanghai Jin Jiang Online Network Service Co., Ltd.",600650
615,"Shanghai Feilo Acoustics Co., ltd",600651
616,"Liaoning Shenhua Holdings Co.,Ltd.",600653
617,"China Security Co., Ltd",600654
618,"SHANGHAI YUYUAN TOURIST MART（GROUP） CO.,LTD",600655
619,Cinda Real Estate Co.，Ltd.,600657
620,"Beijing Electronic Zone High-tech Group Co., Ltd.",600658
621,"FUYAO GLASS INDUSTRY GROUP CO., LTD.",600660
622,"SHANGHAI XINNANYANG ONLY EDUCATION & TECHNOLOGY CO., LTD",600661
623,"Shanghai Foreign Service Holding Group CO.,Ltd.",600662
624,"Shanghai Lujiazui Finance & Trade Zone Development Co.,Ltd.",600663
625,"Harbin Pharmaceutical Group CO.,LTD.",600664
626,"Tande CO.,LTD.",600665
627,"AURORA OPTOELECTRONICS CO.,LTD",600666
628,WUXI TAIJI INDUSTRY COMPANY LIMITED.,600667
629,"ZHEJIANG JIANFENG GROUP CO.,LTD",600668
630,"HANGZHOU TIAN-MU-SHAN PHARMACEUTICAL ENTERPRISE CO.,LTD",600671
631,"GUANGDONG HEC TECHNOLOGY HOLDING CO., LTD",600673
632,"SICHUAN CHUANTOU ENERGY CO.,LTD.",600674
633,CHINA ENTERPRISE COMPANY LIMITED,600675
634,"SHANGHAI JIAO YUN  GROUP CO., LTD.",600676
635,"SICHUAN GOLDEN SUMMIT (GROUP) JOINT-STOCK CO., LTD.",600678
636,"ShangHai Phoenix Enterprise (Group) CO., LTD.",600679
637,"BESTSUN ENERGY  CO., LTD.",600681
638,"NANJING XINJIEKOU DEPARTMENT STORE CO.,LTD",600682
639,METRO LAND CORPORATION LTD,600683
640,"GUANGZHOU PEARL RIVER DEVELOPMENT GROUP CO., LTD.",600684
641,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,600685
642,"XIAMEN KING LONG MOTOR GROUP CO.,TLD.",600686
643,"SINOPEC SHANGHAI PETROCHEMICAL CO.,LTD",600688
644,SHANGHAI SANMAO ENTERPRISE (GROUP) CO.，LTD.,600689
645,"Haier Smart Home Co., Ltd.",600690
646,"Shanxi Lu'an Chemical Technology Co.,Ltd.",600691
647,"SHANG HAI YA TONG CO.,LTD.",600692
648,"FUJIAN DONGBAI GROUP CO.,LTD.",600693
649,DASHANG CO.，LTD.,600694
650,"CHANG CHUN EURASIA GROUP CO., LTD.",600697
651,"HUNAN TYEN MACHINERY CO., LTD",600698
652,NINGBO JOYSON ELECTRONIC CORP.,600699
653,"Shede Spirits Co., Ltd.",600702
654,"SAN'AN OPTOELECTRONICS CO.,LTD",600703
655,"Wuchan Zhongda Group Co., Ltd.",600704
656,"XI’AN QUJIANG CULTURAL TOURISM CO.,LTD.",600706
657,"CAIHONG DISPLAY DEVICES CO.,LTD.",600707
658,"BRIGHT REAL ESTATE GROUP CO.,LIMITED",600708
659,SUMEC CORPORATION LIMITED,600710
660,"CHENGTUN MINING GROUP CO.,LTD",600711
661,"NANNING DEPARTMENT STORE CO.,LTD.",600712
662,Nanjing Pharmaceutical Group Company Limited,600713
663,"Qinghai Jinrun Mineral Development Co., Ltd",600714
664,CULTURAL INVESTMENT HOLDINGS CO.，LTD.,600715
665,JIANGSU PHOENIX PROPERTY INVESTMENT COMPANY LIMITED,600716
666,"TIANJIN PORT HOLDINGS CO.,LTD.",600717
667,Neusoft Corporation,600718
668,"DALIAN THERMAL POWER CO.,LTD.",600719
669,"CCCC Design & Consulting Group Co., Ltd.",600720
670,"XINJIANG BAI HUA CUN PHARMA TECH CO.,LTD",600721
671,"HEBEI JINNIU CHEMICAL INDUSTRIAL CO., LTD",600722
672,NINGBO FUDA COMPANY LIMITED,600724
673,YUNNAN YUNWEI COMPANY LIMITED,600725
674,Huadian Energy Company Limited,600726
675,"SHANDONG LUBEI CHEMICAL CO.,LTD.",600727
676,"PCI TECHNOLOGY GROUP CO.,LTD.",600728
677,"CHONGQING DEPARTMENT STORE CO.,LTD.",600729
678,"CHINA HI-TECH GROUP CO.,LTD.",600730
679,"HUNAN HAILI CHEMICAL INDUSTRY CO.,LTD.",600731
680,"Shanghai Aiko Solar Energy Co., Ltd.",600732
681,"BluePark New Energy Technology Co,.Ltd",600733
682,Fujian Start Group Co. Ltd,600734
683,"SUZHOU NEW DISTRICT HI-TECH INDUSTRIAL CO.,LTD",600736
684,"COFCO  SUGAR HOLDING  CO.,LTD.",600737
685,"LANZHOU LISHANG GUOCHAO INDUSTRIAL GROUP CO.,LTD",600738
686,"LIAONING CHENGDA CO.,LTD.",600739
687,"SHAN XI COKING CO.,LTD",600740
688,HUAYU Automotive Systems Company Limited,600741
689,"Changchun FAWAY Group Automobile Components Co.,Ltd",600742
690,"Beijing Huayuan Xinhang Holding Co.,Ltd.",600743
691,"DATANG HUAYIN ELECTRIC POWER CO.,LTD.",600744
692,"Wingtech Technology Co.,Ltd.",600745
693,JIANGSU SOPO CHEMICAL CO.LTD.,600746
694,"SHANGHAI INDUSTRIAL DEVELOPMENT CO.,LTD.",600748
695,"XIZANG TOURISM CO.,LTD",600749
696,"China Resources Jiangzhong Pharmaceutical Co.,Ltd",600750
697,"HNA Technology Co.,Ltd.",600751
698,"Shanghai Jin Jiang International Hotels Co.,Ltd.",600754
699,"XIAMEN ITG GROUP CORP., LTD.",600755
700,"Inspur software  Co.,Ltd.",600756
701,"Changjiang Publishing & Media Co.,Ltd",600757
702,"LIAONING ENERGY INDUSTRY CO.,LTD",600758
703,Geo-Jade Petroleum Corporation,600759
704,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,600760
705,"ANHUI HELI CO.,LTD.",600761
706,TOPCHOICE MEDICAL CO.INC,600763
707,China Marine Information Electronics Company Limited,600764
708,"AVIC HEAVY MACHINERY CO.,LTD.",600765
709,"NINGBO FUBANG JINGYE GROUP Co,.LTD",600768
710,"WUHAN XIANGLONG POWER INDUSTRY CO,LTD.",600769
711,"Jiangsu Zongyi Co.,LTD",600770
712,"GuangYuYuan Chinese Herbal Medicine Co., Ltd.",600771
713,"Tibet Urban Development and Investment Co.,LTD",600773
714,"HANSHANG GROUP CO.,LTD.",600774
715,NANJING PANDA ELECTRONICS COMPANY LIMITED,600775
716,"EASTERN COMMUNICATIONS CO.,LTD.",600776
717,"XINJIANG YOUHAO (GROUP) CO.,LTD",600778
718,"SICHUAN SWELLFUN CO.,LTD",600779
719,TOP ENERGY COMPANY LTD.SHANXI,600780
720,"Xinyu Iron ＆ Steel Co.,Ltd",600782
721,"Luxin Venture Capital Group Co., Ltd.",600783
722,"LUYIN INVESTMENT GROUP CO.,LTD.",600784
723,"YINCHUAN XINHUA COMMERCIAL (GROUP) CO.,LTD.",600785
724,"CMST Development Co.,Ltd.",600787
725,"SHANDONG LUKANG PHARMACEUTICAL CO.,LTD.",600789
726,"ZheJiang China Light&Textile Industrial City Group Co.,Ltd.",600790
727,"BEH-PROPERTY CO., LTD",600791
728,"Yunnan Coal & Energy Co.,Ltd.",600792
729,"YibinpaperindustryCO.,LTD",600793
730,"ZHANGJIAGANG FREETRADE SCIENCE & TECHNOLOGY GROUP CO., LTD.",600794
731,"GD POWER DEVELOPMENT CO., LTD",600795
732,ZHEJIANG QIANJIANG BIOCHEMICAL COMPANY LIMITED,600796
733,"INSIGMA TECHNOLOGY CO.,LTD.",600797
734,NINGBO MARINE COMPANY LIMITED.,600798
735,"TIAN JIN BOHAI CHEMICAL CO.,LTD.",600800
736,"HUAXIN BUILDING MATERIALS GROUP CO., LTD.",600801
737,FUJIAN CEMENT INC.,600802
738,"ENN Natural Gas Co., Ltd.",600803
739,Jiangsu Yueda Investment Co.Ltd.,600805
740,"Jinan High-tech Development Co., Ltd.",600807
741,MAANSHAN IRON & STEEL COMPANY LIMITED,600808
742,"SHANXI XINGHUACUN FEN WINE FACTORY  CO.,LTD",600809
743,"SHEN MA INDUSTRY CO.,LTD",600810
744,NORTH CHINA PHARMACEUTICAL COMPANY. LTD,600812
745,"HANGZHOU JIEBAI GROUP CO., LIMITED.",600814
746,Xiamen XGMA Machinery Company Limited.,600815
747,"J-Yuan Trust Co.,Ltd.",600816
748,"YUTONG HEAVY INDUSTRIES CO.,LTD.",600817
749,"ZHONGLU CO,.LTD.",600818
750,"SHANGHAI YAOHUA PILKINGTON GLASS GROUP CO,LTD.",600819
751,"SHANGHAI TUNNEL ENGINEERING CO.,LTD.",600820
752,NYOCOR Company Limited,600821
753,"Shanghai Material Trading Co., Ltd.",600822
754,"SHANGHAI YIMIN COMMERCIAL GROUP CO., LTD.",600824
755,"Shanghai Xinhua Media Co., Ltd",600825
756,DLG EXHIBITIONS & EVENTS CORPORATION LIMITED,600826
757,"SHANGHAI BAILIAN GROUP CO., LTD.",600827
758,"Maoye Commercial Co.,Ltd.",600828
759,HPGC Renmintongtai Pharmaceutical Corporation,600829
760,"SUNNY LOAN TOP CO.,LTD",600830
761,SHAANXI BROADCAST & TV NETWORK INTERMEDIARY （GROUP）CO.LTD,600831
762,"SHANGHAI NO.1 PHARMACY CO.,LTD.",600833
763,"Shanghai Shentong Metro Co., Ltd.",600834
764,"Shanghai Mechanical & Electrical Industry CO., LTD.",600835
765,"SHANGHAI JOIN BUY CO.,LTD.",600838
766,"SICHUAN CHANGHONG ELECTRIC CO.,LTD.",600839
767,Shanghai New Power Automotive Technology Company Limited,600841
768,"Shang Gong Group Co., Ltd.",600843
769,"Inner Mongolia Jinmei Chemical Technology Co., Ltd.",600844
770,"Shanghai Baosight Software Co., Ltd.",600845
771,"SHANGHAI TONGJI SCIENCE & TECHNOLOGY INDUSTRIAL CO.,LTD",600846
772,"Chongqing Wanli New Energy Co.,Ltd.",600847
773,Shanghai Lingang Holdings Corporation Limited,600848
774,"CETC Digital Technology Co.,Ltd.",600850
775,"SHANGHAI HAIXIN GROUP CO., LTD.",600851
776,"LONGJIAN ROAD & BRIDGE CO.,LTD.",600853
777,"JIANGSU CHUNLAN REFRIGERATING EQUIPMENT STOCK CO.,LTD",600854
778,"BEIJING AEROSPACE CHANGFENG CO.,LTD.",600855
779,"NINGBO ZHONGBAI CO., LTD.",600857
780,"INZONE GROUP CO.,LTD",600858
781,"WANGFUJING GROUP CO., LTD.",600859
782,Beijing Jingcheng Machinery Electric Company Limited,600860
783,"FESCO Group Co., Ltd",600861
784,"Avic Aviation High-Technology  Co., Ltd.",600862
785,INNER MONGOLIA MENGDIAN HUANENG THERMAL POWER CORPORATION LI,600863
786,"HARBIN HATOU INVESTMENT CO.,LTD",600864
787,"BAIDA GROUP CO.,LTD",600865
788,"STAR LAKE BIOSCIENCE CO.,INC. ZHAOQING GUANGDONG",600866
789,"TONGHUA DONGBAO PHARMACEUTICAL CO.,LTD.",600867
790,"Guangdong Meiyan jixiang Hydropower Co.,Ltd.",600868
791,"Far East Smarter Energy Co.,Ltd",600869
792,SINOPEC OILFIELD SERVICE CORPORATION,600871
793,"JONJEE HI-TECH INDUSTRIAL & COMMERCIAL HOLDING CO.,LTD",600872
794,"MeiHua Holdings Group Co.,Ltd",600873
795,Tianjin Capital Environmental Protection Group Company Limited,600874
796,DONGFANG ELECTRIC CORPORATION LIMITED,600875
797,Triumph New Energy Company Limited,600876
798,CETC Chips Technology Inc.,600877
799,"China Aerospace Times Electronics CO., LTD.",600879
800,"Chengdu B-ray Media Co.,Ltd",600880
801,"JILIN YATAI (GROUP) CO., LTD.",600881
802,"Shanghai Milkground Food Tech Co., Ltd.",600882
803,"Yunnan Bowin Technology&Industry Co.,Ltd.",600883
804,"NINGBO SHANSHAN CO.,LTD.",600884
805,Hongfa Technology Co.，Ltd.,600885
806,"SDIC Power Holdings Co.,Ltd.",600886
807,"INNER MONGOLIA YILI INDUSTRIAL GROUP CO.,LTD",600887
808,"XINJIANG JOINWORLD CO.,LTD.",600888
809,NANJING CHEMICAL FIBRE CO.LTD,600889
810,"AECC AVIATION POWER CO,LTD.",600893
811,"GUANGZHOU GUANGRI STOCK CO.,LTD.",600894
812,"SHANGHAI ZHANGJIANG HI-TECH PARK DEVELOPMENT CO.,LTD",600895
813,"Xiamen International Airport Co.,Ltd",600897
814,"China Yangtze Power Co.,ltd.",600900
815,"Jiangsu Financial Leasing Co.,Ltd.",600901
816,Guizhou Gas Group Corporation Ltd.,600903
817,"China Three Gorges Renewables (Group) Co., Ltd.",600905
818,CAIDA SECURITIES CO.，LTD.,600906
819,"Wuxi Rural Commercial Bank Co., Ltd.",600908
820,"HUAAN SECURITIES CO., LTD.",600909
821,"China National Gold Group Gold Jewellery Co.,Ltd",600916
822,Chongqing Gas Group Corporation Ltd.,600917
823,"ZHONGTAI SECURITIES CO., LTD.",600918
824,"BANK OF JIANGSU CO., LTD.",600919
825,Jiangsu Xukuang Energy Co. Ltd,600925
826,"BANK OF HANGZHOU CO.,LTD.",600926
827,"YONGAN FUTURES CO.,LTD.",600927
828,"BANK OF XI'AN CO.,LTD.",600928
829,"Snowsky Salt Industry Group Co.,Ltd",600929
830,"IKD Co., Ltd.",600933
831,"ANHUI HWASU CO.,LTD.",600935
832,600936,600936
833,CNOOC Limited,600938
834,CHONGQING CONSTRUCTION ENGINEERING GROUP CORPORATION LIMITED,600939
835,600941,600941
836,"Lihuayi Weiyuan Chemical Co., Ltd.",600955
837,China Suntien Green Energy Corporation Limited,600956
838,ORIENT SECURITIES COMPANY LIMITED,600958
839,Jiangsu Broadcasting Cable Information Network Corporation Limited,600959
840,Bohai Automotive Systems CO.，LTD.,600960
841,"ZHUZHOU SMELTER GROUP CO.,LTD.",600961
842,"SDIC ZHONGLU FRUIT JUICE CO.,LTD.",600962
843,"YUEYANG FOREST ＆ PAPER CO., LTD.",600963
844,"Fortune Ng Fung Food (Hebei) Co., Ltd",600965
845,"SHANDONG  BOHUI PAPER INDUSTRIAL  CO.,LTD.",600966
846,"Inner Mongolia First Machinery Group Co.,Ltd.",600967
847,CNOOC Energy Technology & Services Limited,600968
848,Hunan Chendian International Development Share-holding Limited company,600969
849,"Sinoma International Engineering Co.,Ltd.",600970
850,"Anhui Hengyuan Coal Industry and Electricity Power Co., Ltd.",600971
851,"BAOSHENG SCIENCE AND TECHNOLOGY INNOVATION CO., LTD.",600973
852,"Hunan New Wellfull Co.,Ltd.",600975
853,JIANMIN PHARMACEUTICAL GROUP CO.，LTD.,600976
854,"CHINA FILM GROUP CO.,LTD.",600977
855,"SICHUAN GUANGAN AAA PUBLIC CO.,LTD .",600979
856,"BGRIMM Technology Co.,Ltd.",600980
857,JIANGSU SOHO HIGH HOPE GROUP CORPORATION,600981
858,"NINGBO ENERGY GROUP CO.,LTD.",600982
859,"Whirlpool China Co.,Ltd",600983
860,"SHAANXI  CONSTRUCTION  MACHINERY  CO.,LTD.",600984
861,"Huaibei Mining Holdings Co.,Ltd.",600985
862,"Zhewen Interactive Group Co., Ltd.",600986
863,"ZHEJIANG HANGMIN CO., LTD.",600987
864,"Chifeng Jilong Gold Mining Co.,Ltd.",600988
865,600989,600989
866,"Sun-Create Electronics Co.,Ltd",600990
867,"GUIZHOU WIRE ROPE CO.,LTD",600992
868,"Mayinglong Pharmaceutical Group Stock Co.,LTD.",600993
869,"China Southern Power Grid Energy Storage Co.,Ltd",600995
870,"Guizhou BC&TV Information Network CO.,LTD",600996
871,KAILUAN ENERGY CHEMICAL CORPORATION LIMITED,600997
872,Jointown Pharmaceutical Group Company Limited,600998
873,"China Merchants Securities Co.,Ltd.",600999
874,"TANGSHAN PORT GROUP CO.,LTD.",601000
875,"Jinneng Holding Shanxi Coal Industry Co.,Ltd.",601001
876,"GEM-YEAR INDUSTRIAL CO.,LTD.",601002
877,"LIUZHOU IRON&STEEL CO.,LCD",601003
878,CHONGQING IRON & STEEL COMPANY LIMITED,601005
879,"Daqin Railway Co., Ltd.",601006
880,"Jinling Hotel Corporation,Ltd.",601007
881,"Jiangsu Lianyungang Port Co.,Ltd.",601008
882,"BANK OF NANJING CO., LTD",601009
883,Wenfeng Great World Chain Development  Corporation,601010
884,"Baotailong New Materials Co., Ltd.",601011
885,"LONGi Green Energy Technology Co., Ltd.",601012
886,"Shaanxi Heimao Coking Co., Ltd",601015
887,CECEP Wind-Power Corporation,601016
888,Ningbo Zhoushan Port Company Limited,601018
889,"Shandong Publishing&Media Co.,Ltd",601019
890,601020,601020
891,"Spring Airlines Co., Ltd.",601021
892,"Ningbo Ocean Shipping Co., Ltd.",601022
893,601033,601033
894,FIRST TRACTOR COMPANY LIMITED,601038
895,"SAILUN GROUP CO.,LTD.",601058
896,"CINDA SECURITIES CO.,LTD",601059
897,"CITIC Metal Co., Ltd",601061
898,"Jiangxi Salt Industry Group Co., Ltd",601065
899,"CHINA SECURITIES CO., LTD.",601066
900,China Aluminum International Engineering Corporation Limited,601068
901,"Western Region Gold Co., Ltd.",601069
902,"Chongqing Rural Commercial Bank Co., Ltd.",601077
903,"SHANGHAI JINJIANG SHIPPING (GROUP) CO.,LTD.",601083
904,"GANSU GUOFANG INDUSTRY & TRADE（GROUP）CO.,LTD.",601086
905,China Shenhua Energy Company Limited,601088
906,"Beijing Foyou Pharmaceutical CO.,LTD",601089
907,601096,601096
908,"China South Publishing & Media Group Co.,Ltd.",601098
909,"THE PACIFIC SECURITIES CO.,LTD",601099
910,jiangsu hengli hydraulic co.Ltd,601100
911,"BEIJING HAOHUA ENERGY RESOURCE CO. ,LTD",601101
912,China First Heavy lndustries,601106
913,Sichuan Expressway Company Limited,601107
914,"CAITONG SECURITIES CO.,LTD",601108
915,Air China Limited,601111
916,"Yiwu Huading Nylon Co.,Ltd.",601113
917,"SANJIANG SHOPPING CLUB CO.,LTD.",601116
918,"China National Chemical Engineering CO.,LTD.",601117
919,"China Hainan Rubber Industry Group Co.,LTD.",601118
920,"XinjiangBaodiMiningCo.,Ltd.",601121
921,"BEIJING SIFANG AUTOMATION CO.,LTD.",601126
922,"Seres Group Co.,Ltd.",601127
923,"Jiangsu Changshu Rural Commercial Bank Co., Ltd.",601128
924,"BOTH ENGINEERING TECHNOLOGY CO.,LTD",601133
925,CAPITAL SECURITIES CORPORATION LIMITED,601136
926,"Ningbo Boway Alloy Material Co., Ltd",601137
927,"Foxconn Industrial Internet Co., Ltd.",601138
928,SHENZHEN GAS CORPORATION LTD.,601139
929,"Seazen Holdings Co.,Ltd.",601155
930,"Eastern Air Logistics Co., Ltd.",601156
931,"Chongqing Water Group Co.,Ltd.",601158
932,"TIANFENG SECURITIES CO., LTD",601162
933,"TRIANGLE TYRE CO., LTD.",601163
934,"INDUSTRIAL BANK CO.,LTD.",601166
935,"Western Mining Co., Ltd.",601168
936,"BANK OF BEIJING CO.,LTD.",601169
937,"Hangzhou Advance Gearbox Group Co., Ltd.",601177
938,"China XD Electric Co., Ltd.",601179
939,China Railway Construction Corporation Limited,601186
940,"Xiamen Bank Co.,Ltd.",601187
941,"HEILONGJIANG TRANSPORT DEVELOPMENT CO., LTD",601188
942,"DONGXING SECURITIES CO., LTD.",601198
943,"Jiangsu Jiangnan Water Co., Ltd.",601199
944,"SHANGHAI ENVIRONMENT GROUP CO., LTD.",601200
945,"SICHUAN EM TECHNOLOGY CO.,LTD.",601208
946,Guotai Haitong Securities Co. Ltd.,601211
